Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
22;qua 05/09/12;17:00;;São Paulo (5.);;Internacional (7.);4-4-2 duplo 6;Ney Franco;14.171;1:1;;;Juvenal Juvêncio (2006-2014)
23;dom 09/09/12;11:00;;Santos (14.);;São Paulo (5.);3-5-2;Ney Franco;6.379;0:0;;;Juvenal Juvêncio (2006-2014)
24;qua 12/09/12;17:00;;Atlético-MG (2.);;São Paulo (6.);4-4-2 duplo 6;Ney Franco;18.025;1:0;;;Juvenal Juvêncio (2006-2014)
25;sáb 15/09/12;13:30;;São Paulo (6.);;Portuguesa (13.);4-3-3 ofensivo;Ney Franco;18.957;3:1;;;Juvenal Juvêncio (2006-2014)
26;dom 23/09/12;11:00;;São Paulo (5.);;Cruzeiro (8.);4-3-3 defensivo;Ney Franco;40.457;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de ida;qua 26/09/12;22:00;;LDU de Loja;;São Paulo;4-3-3 defensivo;Ney Franco;;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
27;dom 30/09/12;11:00;;Coritiba (16.);;São Paulo (5.);4-3-3 defensivo;Ney Franco;15.061;1:1;;;Juvenal Juvêncio (2006-2014)
28;sáb 06/10/12;16:00;;São Paulo (5.);;Palmeiras (18.);4-3-3 defensivo;Ney Franco;34.941;3:0;;;Juvenal Juvêncio (2006-2014)
29;qua 10/10/12;17:00;;Vasco da Gama (4.);;São Paulo (5.);4-3-3 defensivo;Ney Franco;11.182;0:2;;;Juvenal Juvêncio (2006-2014)
30;dom 14/10/12;11:00;;São Paulo (5.);;Figueirense (19.);4-3-3 defensivo;Ney Franco;27.641;2:0;;;Juvenal Juvêncio (2006-2014)
31;qui 18/10/12;16:00;;São Paulo (4.);;Atlético-GO (20.);4-3-3 defensivo;Ney Franco;27.098;2:0;;;Juvenal Juvêncio (2006-2014)
32;dom 21/10/12;12:00;;Flamengo (15.);;São Paulo (4.);4-3-3 defensivo;Ney Franco;21.631;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de volta;qua 24/10/12;22:00;;São Paulo;;LDU de Loja;4-3-3 defensivo;Ney Franco;;0:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
33;sáb 27/10/12;14:30;;Sport (17.);;São Paulo (4.);4-2-3-1;Ney Franco;29.590;2:4;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Quartas de final - Jogos de ida;qua 31/10/12;21:50;;U. de Chile;;São Paulo;4-2-3-1;Ney Franco;;0:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
34;dom 04/11/12;14:00;;São Paulo (4.);;Fluminense (1.);4-3-3 defensivo;Ney Franco;54.118;1:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
quartas de final - Jogos de volta;qua 07/11/12;21:50;;São Paulo;;U. de Chile;4-2-3-1;Ney Franco;;5:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
35;dom 11/11/12;14:00;;Grêmio (3.);;São Paulo (4.);4-3-3 defensivo;Ney Franco;40.217;2:1;;;Juvenal Juvêncio (2006-2014)
36;dom 18/11/12;14:00;;São Paulo (4.);;Náutico (13.);4-3-3 defensivo;Ney Franco;62.207;2:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Semifinais - Jogos de ida;qui 22/11/12;20:15;;Univ. Católica;;São Paulo;4-3-3 defensivo;Ney Franco;;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
37;dom 25/11/12;14:00;;Ponte Preta (12.);;São Paulo (4.);4-2-3-1;Ney Franco;9.471;0:0;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
semifinais - Jogos de volta;qua 28/11/12;21:50;;São Paulo;;Univ. Católica;4-3-3 defensivo;Ney Franco;;0:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
38;dom 02/12/12;14:00;;São Paulo (4.);;Corinthians (5.);4-2-3-1;Ney Franco;22.436;3:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
final - jogo de ida;qua 05/12/12;21:50;;Tigre;;São Paulo;4-2-3-1;Ney Franco;;0:0;;;Juvenal Juvêncio (2006-2014)
final - jogo de volta;qua 12/12/12;21:50;;São Paulo;;Tigre;4-2-3-1;Ney Franco;;2:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
1;sáb 19/01/13;19:00;;São Paulo;;Mirassol;?;Ney Franco;14.783;2:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Play-Off 1ª mão;qua 23/01/13;22:00;;São Paulo;;Bolívar;4-3-3 defensivo;Ney Franco;;5:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
3;sáb 26/01/13;19:00;;São Paulo;;Atl. Sorocaba;?;Ney Franco;6.966;2:1;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Play-Off 2ª mão;qua 30/01/13;22:00;;Bolívar;;São Paulo;4-4-2 duplo 6;Ney Franco;;4:3;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
5;dom 03/02/13;19:00;;Santos;;São Paulo;?;Ney Franco;;3:1;;;Juvenal Juvêncio (2006-2014)
6;qui 07/02/13;00:00;;São Paulo;;Ponte Preta;?;Ney Franco;;0:0;;;Juvenal Juvêncio (2006-2014)
7;sáb 09/02/13;18:20;;Guarani;;São Paulo;?;Ney Franco;;1:2;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qua 13/02/13;22:00;;Atlético-MG;;São Paulo;4-4-2 duplo 6;Ney Franco;;2:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
8;sáb 16/02/13;20:30;;São Paulo;;Ituano;?;Ney Franco;8.930;3:2;;;Juvenal Juvêncio (2006-2014)
2;qua 20/02/13;20:30;;São Caetano;;São Paulo;?;Ney Franco;;2:4;;;Juvenal Juvêncio (2006-2014)
9;sáb 23/02/13;19:30;;São Paulo;;Linense;?;Ney Franco;;3:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qui 28/02/13;21:30;;São Paulo;;The Strongest;4-4-2 duplo 6;Ney Franco;;2:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
10;dom 03/03/13;19:30;;Penapolense;;São Paulo;?;Ney Franco;;0:2;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qui 07/03/13;19:15;;São Paulo;;Arsenal Sarandí;4-4-2 duplo 6;Ney Franco;;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
11;dom 10/03/13;17:00;;São Paulo;;Palmeiras;?;Ney Franco;;0:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qui 14/03/13;21:30;;Arsenal Sarandí;;São Paulo;3-5-2;Ney Franco;;2:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
12;dom 17/03/13;17:00;;São Paulo;;Oeste;?;Ney Franco;;3:2;;;Juvenal Juvêncio (2006-2014)
13;qua 20/03/13;23:00;;São Bernardo;;São Paulo;?;Ney Franco;12.372;1:2;;;Juvenal Juvêncio (2006-2014)
14;sáb 23/03/13;19:30;;São Paulo;;Bragantino;?;Ney Franco;;2:0;;;Juvenal Juvêncio (2006-2014)
15;qua 27/03/13;23:00;;Paulista;;São Paulo;?;Ney Franco;;0:2;;;Juvenal Juvêncio (2006-2014)
16;dom 31/03/13;16:00;;São Paulo;;Corinthians;?;Ney Franco;;1:2;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qui 04/04/13;21:30;;The Strongest;;São Paulo;4-2-3-1;Ney Franco;;2:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
17;dom 07/04/13;18:30;;Botafogo-SP;;São Paulo;?;Ney Franco;;1:3;;;Juvenal Juvêncio (2006-2014)
4;qui 11/04/13;19:30;;Barbarense;;São Paulo;?;Ney Franco;4.430;1:2;;;Juvenal Juvêncio (2006-2014)
18;sáb 13/04/13;18:30;;São Paulo;;XV Piracicaba;?;Ney Franco;9.308;0:1;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 3;qua 17/04/13;22:00;;São Paulo;;Atlético-MG;4-4-2 duplo 6;Ney Franco;;2:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
19;dom 21/04/13;16:00;;Mogi Mirim;;São Paulo;?;Ney Franco;;1:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Juvenal Juvêncio (2006-2014)
quartas de final;dom 28/04/13;18:30;;São Paulo;;Penapolense;?;Ney Franco;32.995;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de ida;qui 02/05/13;20:15;;São Paulo;;Atlético-MG;4-2-3-1;Ney Franco;;1:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Juvenal Juvêncio (2006-2014)
semifinais;dom 05/05/13;16:00;;São Paulo;;Corinthians;?;Ney Franco;29.475;3:4 pen.;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de volta;qua 08/05/13;22:00;;Atlético-MG;;São Paulo;4-2-3-1;Ney Franco;;4:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
1;dom 26/05/13;16:00;;Ponte Preta (19.);;São Paulo (9.);4-3-3 defensivo;Ney Franco;6.267;0:2;;;Juvenal Juvêncio (2006-2014)
2;qua 29/05/13;19:30;;São Paulo (3.);;Vasco da Gama (7.);4-3-3 defensivo;Ney Franco;8.079;5:1;;;Juvenal Juvêncio (2006-2014)
3;dom 02/06/13;18:30;;Atlético-MG (7.);;São Paulo (1.);4-3-1-2;Ney Franco;10.830;0:0;;;Juvenal Juvêncio (2006-2014)
4;qua 05/06/13;19:30;;São Paulo (1.);;Goiás (17.);4-4-2 duplo 6;Ney Franco;8.892;0:1;;;Juvenal Juvêncio (2006-2014)
5;qua 12/06/13;22:00;;Grêmio (6.);;São Paulo (3.);4-3-3 defensivo;Ney Franco;15.926;1:1;;;Juvenal Juvêncio (2006-2014)
